Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
Statistics:
          MT   Count TotalSize Class Name
7ffc4cefafd8       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertDetailArtistData>+<>c__DisplayClass10_0
7ffc4d6bf820       1        24 System.GenericEmptyEnumerator<System.Collections.Generic.KeyValuePair<System.String, Wavee.Core.Storage.CdnCacheEntry>>
7ffc4de081b0       1        24 Wavee.Core.Http.Pathfinder.SeoRecommendedEpisodeItem[]
7ffc48741a48       1        24 Wavee.UI.WinUI.Data.Messages.MainWindowFocusReturnedMessage
7ffc4873ee70       1        24 Wavee.UI.WinUI.Data.Messages.NotificationRequestedMessage
7ffc49541388       1        24 ABI.Microsoft.UI.Xaml.IDispatcherTimerMethods+<>c__DisplayClass9_0
7ffc498ef4b8       1        24 ABI.Microsoft.UI.Xaml.XamlRootRcwFactoryAttribute
7ffc4994af50       1        24 ABI.Microsoft.UI.Xaml.RoutedEventArgsRcwFactoryAttribute
7ffc4994d0c0       1        24 Wavee.UI.WinUI.Data.Models.RestoredTabState[]
7ffc49981b90       1        24 System.Text.Json.Serialization.Metadata.ReflectionEmitMemberAccessor
7ffc499882b0       1        24 System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache<System.ValueTuple<System.String, System.Type, System.Reflection.MemberInfo>>+<>c__6<System.Func<System.Object>>
7ffc4888d1b8       1        24 Wavee.UI.WinUI.Services.NavigationGcCoordinator+<>c
7ffc4998d430       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Data.Contexts.LocationService>
7ffc4998db30       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Data.Contexts.ArtistService>
7ffc4998d2e0       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Data.Stores.ArtistStore>
7ffc49daf018       1        24 System.Collections.Generic.GenericEqualityComparer<System.Net.Security.SslSessionsCache+SslCredKey>
7ffc4a163898       1        24 Wavee.Protocol.Player.ClusterUpdate+<>c
7ffc4a163a78       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.ClusterUpdate>+<>c__DisplayClass2_0
7ffc4a164db8       1        24 System.Collections.Generic.GenericEqualityComparer<Wavee.Protocol.Player.DeviceInfo>
