Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
         Address               MT           Size
    01a0854183d8     7ffc4890c038             48 
    01a0858073b0     7ffc4890c038             48 
    01a085817cf0     7ffc4890c038             48 
    01a085c0a658     7ffc4890c038             48 
    01a085c1ba78     7ffc4890c038             48 
    01a085c2ce98     7ffc4890c038             48 
    01a085c3e0e0     7ffc4890c038             48 
    01a085c4f518     7ffc4890c038             48 
    01a085c65a08     7ffc4890c038             48 
    01a085c778d0     7ffc4890c038             48 
    01a085c88c70     7ffc4890c038             48 
    01a085ca96d8     7ffc4890c038             48 
    01a085cac330     7ffc4890c038             48 
    01a085cb54f8     7ffc4890c038             48 
    01a085d094e0     7ffc4890c038             48 
    01a085d158b0     7ffc4890c038             48 
    01a086006890     7ffc4890c038             48 
    01a086012c60     7ffc4890c038             48 
    01a086c076c0     7ffc4890c038             48 
    01a086c14ab8     7ffc4890c038             48 
    01a08708d5b0     7ffc4890c038             48 
    01a087093218     7ffc4890c038             48 
    01a08709a8f0     7ffc4890c038             48 
    01a0870a1fc8     7ffc4890c038             48 
    01a0870b0530     7ffc4890c038             48 
    01a0870b8920     7ffc4890c038             48 
    01a0870c7770     7ffc4890c038             48 
    01a0870cebe0     7ffc4890c038             48 
    01a0870d5f00     7ffc4890c038             48 
    01a0870e15e0     7ffc4890c038             48 
    01a0870e8bf0     7ffc4890c038             48 
    01a087802a18     7ffc4890c038             48 
    01a0878141a0     7ffc4890c038             48 
    01a08781b878     7ffc4890c038             48 
    01a087822f50     7ffc4890c038             48 
    01a08782a628     7ffc4890c038             48 
    01a0a088d428     7ffc4890c038             48 
    01a0a08a5838     7ffc4890c038             48 
    01a0a08ac6a0     7ffc4890c038             48 
    01a0a0960208     7ffc4890c038             48 
    01a0a096ba38     7ffc4890c038             48 
    01a0a09b7a68     7ffc4890c038             48 
    01a0a09bec60     7ffc4890c038             48 
    01a0a09c5ec0     7ffc4890c038             48 
    01a0a0a2f468     7ffc4890c038             48 
    01a0a0a36810     7ffc4890c038             48 
    01a0a0a3dbb8     7ffc4890c038             48 
    01a0a0a44f60     7ffc4890c038             48 
    01a0a0a4f648     7ffc4890c038             48 
    01a0a0a5fe38     7ffc4890c038             48 
    01a0a0a70c28     7ffc4890c038             48 
    01a0a0a8d858     7ffc4890c038             48 
    01a0a0aad818     7ffc4890c038             48 
    01a0a0ac0b68     7ffc4890c038             48 
    01a0a0adf2b0     7ffc4890c038             48 
    01a0a0b9dce8     7ffc4890c038             48 
    01a0a0ba53c0     7ffc4890c038             48 
    01a0a0baca98     7ffc4890c038             48 
    01a0a0bb4170     7ffc4890c038             48 
    01a0a0bbb848     7ffc4890c038             48 
    01a0a0bc2f20     7ffc4890c038             48 
    01a0a0c45548     7ffc4890c038             48 
    01a0a0c4cd40     7ffc4890c038             48 
    01a0a0c544b8     7ffc4890c038             48 
    01a0a0c642c0     7ffc4890c038             48 
    01a0a0c73100     7ffc4890c038             48 
    01a0a0c80658     7ffc4890c038             48 
    01a0a0c8dbb0     7ffc4890c038             48 
    01a0a0c9b120     7ffc4890c038             48 
    01a0a108c788     7ffc4890c038             48 
    01a0a10a2470     7ffc4890c038             48 
    01a0a10a6c70     7ffc4890c038             48 
    01a0a113aa90     7ffc4890c038             48 
    01a0a11462c0     7ffc4890c038             48 
    01a0a116d0d0     7ffc4890c038             48 
    01a0a1178840     7ffc4890c038             48 
    01a0a11843b8     7ffc4890c038             48 
    01a0a118cee0     7ffc4890c038             48 
    01a0a11c0a38     7ffc4890c038             48 
    01a0a11cc268     7ffc4890c038             48 
    01a0a11eb630     7ffc4890c038             48 
    01a0a11f2b20     7ffc4890c038             48 
    01a0a1212820     7ffc4890c038             48 
    01a0a12b4dc0     7ffc4890c038             48 
    01a0a12b6bc8     7ffc4890c038             48 
    01a0a12b89d0     7ffc4890c038             48 
    01a0a12ba7d8     7ffc4890c038             48 
    01a0a12bc5e0     7ffc4890c038             48 
    01a0a12be3e8     7ffc4890c038             48 
    01a0a12c01f0     7ffc4890c038             48 
    01a0a12c1ff8     7ffc4890c038             48 
    01a0a12c3e00     7ffc4890c038             48 
    01a0a190ba48     7ffc4890c038             48 
    01a0a1916d50     7ffc4890c038             48 
    01a0a19223f0     7ffc4890c038             48 
    01a0a1928018     7ffc4890c038             48 
    01a0a192ef68     7ffc4890c038             48 
    01a0a1935e20     7ffc4890c038             48 
    01a0a194eed0     7ffc4890c038             48 
    01a0a1955ee0     7ffc4890c038             48 
    01a0a19b8520     7ffc4890c038             48 
    01a0a19d98f8     7ffc4890c038             48 
    01a0a1a8f8f0     7ffc4890c038             48 
    01a0a1a94cd8     7ffc4890c038             48 
    01a0a1aa1600     7ffc4890c038             48 
    01a0a1aadf28     7ffc4890c038             48 
    01a0a1aba850     7ffc4890c038             48 
    01a0a1ac7460     7ffc4890c038             48 
    01a0a1ace360     7ffc4890c038             48 
