detail.likedFacts.tempoBandTip	plural	{range} · {name} · {count, plural, one {# track} other {# tracks}}
detail.likedFacts.tempoCoverage	none	{known} of {total}
detail.likedFacts.tempoRange	none	{min} – {max} bpm
detail.likedFacts.theYears	none	The years
detail.likedFacts.thisWeek	none	This week
detail.likedFacts.topArtists	none	Top artists
detail.likedFacts.underFloor	plural	… and {count, plural, one {# descriptor} other {# descriptors}} under 1 %
detail.likedFacts.weekRange	none	{start} – {end}
detail.likedFacts.weekTip	plural	{start} – {end} · {count, plural, one {# song liked} other {# songs liked}}
detail.likedFacts.weekTipAdded	plural	{start} – {end} · {count, plural, one {# song added} other {# songs added}}
detail.likedFacts.windowCaption	none	last {count} weeks
detail.likedFacts.yearRange	none	{start} – {end}
detail.likedFacts.yearTip	plural	{start} – {end} · {count, plural, one {# track} other {# tracks}}
detail.likedFacts.yearTipOne	plural	{year} · {count, plural, one {# track} other {# tracks}}
detail.metaLine	none	{count} · {duration}
detail.metaLineSaved	none	{count} · {saves} · {duration}
detail.metaLineYear	none	{count} · {duration} · {year}
detail.metaLineYearPending	none	{count} · {year}
detail.moreBy	none	More by {name}
detail.newPlaylist	none	New playlist
detail.noPlaylists	none	No playlists found
detail.noSuggestions	none	No suggestions right now
detail.notice.accessRevoked	none	You no longer have access to this playlist.
detail.notice.createFailed	none	This playlist couldn’t be created.
detail.notice.deleted	none	This playlist was deleted.
detail.notice.goToLibrary	none	Go to Library
detail.notice.minifiedAlbum	none	Minified album view — track details load on the full album page.
detail.otherVersions	none	Other versions
detail.playAfter	none	Play after
detail.playNext	none	Play next
detail.playsColumn	none	Plays column
detail.preReleaseEyebrow	none	Coming soon
detail.preReleaseOut	none	Out now
detail.preReleaseUnitDays	none	DAYS
detail.preReleaseUnitHours	none	HRS
detail.preReleaseUnitMinutes	none	MIN
detail.preReleaseUnitSeconds	none	SEC
detail.preSave	none	Pre-save
detail.preSaved	none	Pre-saved
detail.queueUnavailable	none	Can’t add to queue right now
detail.recommended	none	Recommended songs
detail.releasesOn	none	Releases {date}
detail.row.chartNew	none	NEW
detail.row.moreArtists	none	+{count}
detail.row.playsFull	none	{count} plays
detail.saveCount	plural	{count, plural, one {# save} other {# saves}}
detail.saveCountCompact	none	{value} saves
detail.select	none	Select
detail.selectAll	none	Select all
detail.selectedCount	plural	{count, plural, one {# selected} other {# selected}}
detail.shuffle	none	Shuffle
detail.similarAlbums	none	Similar albums
detail.sort.album	none	Album
detail.sort.artist	none	Artist
detail.sort.ascending	none	Ascending
detail.sort.customOrder	none	Custom order
detail.sort.dateAdded	none	Date added
detail.sort.descending	none	Descending
detail.sort.duration	none	Duration
detail.sort.menu	none	Sort
detail.sort.title	none	Title
detail.tempoColumn	none	BPM · Key column
detail.trackFacts.added	none	Added
detail.trackFacts.addedBy	none	Added by
detail.trackFacts.album	none	Album
detail.trackFacts.bpm	none	BPM
detail.trackFacts.descriptors	none	Descriptors
detail.trackFacts.duration	none	Duration
detail.trackFacts.explicit	none	Explicit
detail.trackFacts.isrc	none	ISRC
detail.trackFacts.key	none	Key
detail.trackFacts.localFile	none	Local file
detail.trackFacts.major	none	major
detail.trackFacts.minor	none	minor
detail.trackFacts.plays	none	Plays
detail.trackFacts.released	none	Released
detail.trackFacts.showDetails	none	Track details
detail.trackFacts.title	none	Track details
detail.trackFacts.unavailable	none	Audio unavailable
detail.trackFacts.video	none	Music video
detail.tuning.applied	none	Playlist tuned
detail.tuning.applyFailed	none	Couldn’t tune this playlist. Try again.
detail.tuning.current	none	Current
detail.tuning.flyoutSubtitle	none	Choose a direction and Wavee will rebuild the track list.
detail.tuning.flyoutTitle	none	Tune this mix
detail.tuning.reset	none	Reset tuning
detail.tuning.tipBody	none	Adjust the mix's direction right from here — Wavee rebuilds the track list.
detail.tuning.tipTitle	none	Tune this playlist
detail.tuning.tooltip	none	Tune this playlist
detail.tuning.tune	none	Tune
detail.versions.alternateAudio	none	Alternate audio
detail.versions.musicVideo	none	Music video
detail.versions.thisTrack	none	This track
detail.versions.useDefaultQuality	none	Use my default quality
detail.versions.versionsAndFormats	none	Versions and formats
detail.viewAllArtists	none	View all artists
detail.watchOfficialVideo	none	WATCH THE OFFICIAL VIDEO
drag.addTo	none	Add to {name}
drag.addToQueue	none	Add to queue
drag.addTracks	plural	{count, plural, one {Add # song} other {Add # songs}}
drag.alreadyThere	none	Already there
drag.cantAddArtist	none	Can’t add an artist
drag.cantEditPlaylist	none	Can’t edit this playlist
drag.cantMoveAcrossSections	none	Can’t move across sections
drag.cantMoveHere	none	Can’t move here
drag.cantMoveIntoItself	none	Can’t move a folder into itself
drag.clearFiltersToReorder	none	Clear filters to reorder
drag.clearSortingToReorder	none	Clear sorting to reorder
drag.dragOntoPlaylist	none	Drag onto a playlist to add
drag.libraryUnavailable	none	Can’t change your library right now
drag.moveInto	none	Move into {name}
drag.moveOutOf	none	Move out of {name}
drag.moveToEnd	none	Move to the end
drag.moveTracks	plural	{count, plural, one {Move # song} other {Move # songs}}
drag.movedManyTo	plural	Moved {count, plural, one {# item} other {# items}} to {name}
drag.movedTo	none	Moved to {name}
drag.movedToLibrary	none	Moved to Your Library
drag.newFolderFromThis	plural	{count, plural, one {New folder from this} other {New folder with # items}}
drag.newFolderInside	none	New folder inside {name}
drag.newPlaylistFromThis	none	New playlist from this
drag.nothingToAdd	none	Nothing to add
drag.organizeHint	none	Drop between playlists or onto a folder
drag.pin	none	Pin {name}
drag.playNext	none	Play next
drag.reorderHint	none	Drag to reorder
drag.stillLoading	none	Still loading…
drag.stillSyncing	none	Still syncing — try again in a moment
friends.dAgo	none	{count} d
friends.empty	none	No friend activity yet
friends.emptyHint	none	When friends you follow listen on Spotify, they'll show up here.
friends.error	none	Couldn't load friend activity.
friends.hrAgo	none	{count} hr
friends.minAgo	none	{count} min
friends.now	none	now
friends.offline	none	Sign in to see what your friends are playing.
friends.retry	none	Retry
friends.title	none	Friend Activity
home.chartEye	none	charts
home.charts	none	Charts
home.chartsEmpty	none	No charts right now
home.customize	none	Customize Home
home.customizer.back	none	Back
home.customizer.corrupt	none	Home layout could not be read
home.customizer.corruptSub	none	Your previous file was kept. Start fresh to replace it, or keep using the default layout.
home.customizer.done	none	Done
home.customizer.dragCaption	none	Reorder
home.customizer.eyebrow	none	Your Home
home.customizer.faultDiscard	none	Start fresh
home.customizer.hero	none	Hero
home.customizer.hiddenHint	none	Hidden modules stay in this list so you can bring them back. Drag to reorder.
home.customizer.position	none	{index} of {count}
home.customizer.reorderCancelled	none	Cancelled. {name} stayed where it was.
home.customizer.reorderDropped	none	Moved {name}. {position}.
home.customizer.reorderGrabbed	none	Picked up {name}. {position}.
home.customizer.reorderMoved	none	{name}. {position}.
home.customizer.reset	none	Reset
home.customizer.title	none	Customize Home
home.customizer.undo.hide	none	Hide module
home.customizer.undo.move	none	Reorder module
home.customizer.undo.reset	none	Reset Home layout
home.customizer.undo.show	none	Show module
home.customizer.weeklyPair	none	Discover Weekly & Release Radar
home.dailyEye	none	daily
home.facetFailed	none	Couldn't load that view. Showing the previous one.
home.playFailed	none	Couldn't play that. Try again.
home.podcastsEye	none	podcasts
home.videoEye	none	video
home.weeklyEye	none	weekly
jumplist.jumpBackIn	none	Jump back in
jumplist.kindAlbum	none	Album
jumplist.kindArtist	none	Artist
jumplist.kindPlaylist	none	Playlist
jumplist.kindShow	none	Show
jumplist.pause	none	Pause
jumplist.pausePlayback	none	Pause playback
jumplist.resume	none	Resume
jumplist.resumePlayback	none	Resume playback
jumplist.search	none	Search
library.allInLibrary	none	Everything {name} has released is already in your library.
library.alsoBy	none	Also by {name} in your library
library.conflict	none	Your library changed while that was saving — try again.
library.deleteFolderConfirmBody	none	Delete this folder? The playlists inside will move up a level. Playlists are not deleted.
library.emptyLibraryAction	none	Show all releases
library.emptyLibraryTitle	none	Nothing from {name} in your library yet
library.fetchingMore	none	Fetching {n} more releases…
library.fetchingReleases	none	Fetching releases…
library.filter	none	Filter
library.inYourLibrary	none	In your library: {albums}{songs}
library.matchedAlbum	none	Matched · album ‘{name}’
library.matchedSong	none	Matched · song ‘{name}’
library.moveFailed	none	Couldn’t save that change to your library. Try again.
library.nAlbums	plural	{n, plural, one {# album} other {# albums}}
library.nLikedSongs	plural	{n, plural, one {# liked song} other {# liked songs}}
library.nSongs	plural	 · {n, plural, one {# song} other {# songs}}
library.nSongsOnly	plural	{n, plural, one {# song} other {# songs}}
library.noMatch	none	Nothing matches your filter
library.nothingToAdd	none	There’s nothing here to add
library.oneAlbum	none	1 album
library.oneLikedSong	none	1 liked song
library.oneSong	none	1 song
library.openAlbum	none	Open album
library.playAlbum	none	Play {name}
library.playAll	none	Play all
library.rail.albums	none	albums
library.rail.alphabetical	none	a–z
library.rail.creator	none	artist
library.rail.recentlyAdded	none	added
library.rail.recents	none	recents
library.rail.releaseDate	none	year
library.readerSort.alphabetical	none	a–z
library.readerSort.newest	none	newest
library.readerSort.oldest	none	oldest
library.savedIn	none	saved {year}
library.scope.allReleases	none	all releases
library.scope.allShort	none	all
library.scope.inLibrary	none	in your library
library.selectAlbum	none	Pick an album
library.selectAlbumTracks	none	Select a release
library.selectArtist	none	Pick an artist
library.selectShow	none	Select a show to see its episodes
library.size	none	Size
library.songsFailed	none	Couldn’t load the songs.
library.sort.alphabetical	none	Alphabetical
library.sort.creator	none	Creator
library.sort.recentlyAdded	none	Recently added
library.sort.recents	none	Recents
library.sort.releaseDate	none	Release date
library.sortBy	none	Sort by
library.view.compactGrid	none	Compact grid
library.view.compactList	none	Compact list
library.view.grid	none	Grid
library.view.list	none	List
library.viewAs	none	View as
library.viewFullAlbum	none	View full album
library.writeFailed	none	Couldn’t update your library. Try again.
localFile.onThisDevice	none	On this device
localFile.playlistDescription	none	Music imported from this computer.
localFile.playlistTitle	none	Local Files
lyrics.debug.close	none	close ✕
lyrics.debug.noArtist	none	(no artist)
lyrics.debug.noReport	none	No search recorded for this track yet — it may be a local/fake track, or the fetch is still in flight. Close and reopen to refresh.
lyrics.debug.noSources	none	(no sources ran)
lyrics.debug.pill	none	lyrics debug
lyrics.debug.title	none	Lyrics search
lyrics.debug.winner	none	★ winner
lyrics.inspector.evidenceSaved	none	Lyrics evidence bundle saved
lyrics.inspector.parsedCopied	none	Parsed lyrics copied
lyrics.inspector.payloadsNote	none	Payloads are only captured when a fan-out actually runs; cached answers have none.
lyrics.inspector.raw	none	Raw ({n})
lyrics.inspector.rawNone	none	Raw (none)
